Data;Noticia
24/01/2014;Preocupações com a desaceleração econômica e inflação elevada no Brasil.
14/03/2014;Intervenções do Banco Central com leilões de swap cambial para conter a valorização do dólar.
22/09/2014;Incertezas eleitorais aumentam a volatilidade cambial.
27/10/2014;Reeleição da presidente Dilma Rousseff gera desconfiança nos mercados financeiros.
31/12/2014;Continuação das preocupações com a economia brasileira e queda nos preços das commodities.
02/01/2015;Aumento das tensões políticas e início de ajustes fiscais no Brasil.
20/03/2015;Protestos contra o governo e deterioração das contas públicas.
23/09/2015;Rebaixamento da nota de crédito do Brasil pela Standard & Poor's.
28/10/2015;Banco Central intensifica intervenções no câmbio para conter a volatilidade.
31/12/2015;Continuação da crise política e econômica no país.
21/01/2016;Incertezas políticas e econômicas persistem, aumentando a pressão sobre o câmbio.
17/03/2016;Expectativas de mudança política com o avanço do processo de impeachment.
12/05/2016;Afastamento da presidente Dilma Rousseff e posse do presidente interino Michel Temer.
05/08/2016;Realização dos Jogos Olímpicos no Rio de Janeiro traz otimismo temporário ao mercado.
30/12/2016;Aprovação da PEC do Teto de Gastos gera expectativas positivas sobre o ajuste fiscal.
02/01/2017;Expectativas de recuperação econômica e reformas estruturais impulsionam o real.
18/05/2017;Divulgação de gravações envolvendo o presidente Michel Temer em escândalos de corrupção.
14/07/2017;Câmara dos Deputados rejeita denúncia contra o presidente Temer, trazendo alívio temporário ao mercado.
11/09/2017;Aprovação da reforma trabalhista aumenta confiança dos investidores.
29/12/2017;Incertezas sobre a aprovação da reforma da Previdência geram volatilidade cambial.
05/01/2018;Cenário externo favorável e fluxo de investimentos estrangeiros fortalecem o real.
24/05/2018;Greve dos caminhoneiros no Brasil gera preocupações econômicas, impactando o mercado cambial.
13/09/2018;Incertezas eleitorais aumentam a volatilidade no mercado financeiro, pressionando o câmbio.
29/10/2018;Vitória de Jair Bolsonaro traz expectativas de reformas econômicas, fortalecendo o real.
28/12/2018;Persistem dúvidas sobre a capacidade do novo governo em implementar reformas.
02/01/2019;Otimismo com o novo governo e agenda de reformas impulsionam o real.
22/03/2019;Dificuldades na articulação política para aprovar a reforma da Previdência geram desconfiança nos mercados.
05/08/2019;Tensões comerciais entre EUA e China aumentam a aversão ao risco, afetando moedas emergentes.
18/11/2019;Incertezas fiscais e políticas internas pressionam o câmbio.
30/12/2019;Aprovação da reforma da Previdência traz alívio, mas persistem preocupações com o crescimento econômico.
16/03/2020;Pandemia de COVID-19 causa crise global, levando investidores a buscarem segurança no dólar.
14/05/2020;Incertezas políticas internas e gravidade da pandemia no Brasil intensificam a desvalorização do real.
24/08/2020;Intervenções do Banco Central e melhora no cenário externo contribuem para a valorização do real.
22/10/2020;Segunda onda da pandemia e incertezas fiscais aumentam a pressão sobre o câmbio.
28/12/2020;Expectativas de vacinação e recuperação econômica global trazem alívio ao mercado cambial.
04/01/2021;Início lento da vacinação e preocupações fiscais mantêm o real pressionado.
08/03/2021;Piora da pandemia no Brasil e instabilidade política aumentam a aversão ao risco.
14/06/2021;Avanço na vacinação e alta nos preços das commodities beneficiam o real.
10/09/2021;Tensões entre os poderes Executivo e Judiciário geram instabilidade política.
29/12/2021;Incertezas fiscais e a perspectiva de aumento de juros nos EUA pressionaram o câmbio.
03/01/2022;Início do ano marcado por preocupações fiscais e incertezas políticas no Brasil, além de expectativas sobre a política monetária nos Estados Unidos.
04/04/2022;Aumento dos preços das commodities e fluxo de investimentos estrangeiros contribuíram para a valorização do real.
01/07/2022;Incertezas eleitorais e temores sobre a economia global aumentaram a aversão ao risco, pressionando o câmbio.
31/10/2022;Resultados eleitorais no Brasil trouxeram alívio temporário aos mercados, fortalecendo o real.
30/12/2022;O dólar encerrou o ano acumulando uma queda de 5,3%, a primeira baixa anual desde 2016. 
02/01/2023;Incertezas sobre a política fiscal do novo governo e expectativas de desaceleração econômica global influenciaram o câmbio.
15/03/2023;Aprovação de medidas fiscais pelo governo brasileiro aumentou a confiança dos investidores, fortalecendo o real.
30/06/2023;Melhora no humor do mercado com a economia brasileira e fluxo positivo de investimentos estrangeiros contribuíram para a valorização do real.
15/09/2023;Aumento das tensões comerciais globais e preocupações com a desaceleração econômica mundial elevaram a demanda por ativos seguros, como o dólar.
29/12/2023;O dólar encerrou o ano registrando uma queda de 8,08%, a maior baixa anual desde 2016. 
02/01/2024;Início do ano com expectativas de estabilidade cambial, porém com atenção às políticas fiscais e monetárias.
28/06/2024;O dólar fechou o primeiro semestre com valorização de mais de 15%, influenciado por críticas do presidente ao Banco Central. 
06/12/2024;Dólar atinge o maior valor da história do real, mesmo com intervenções do Banco Central. 
17/12/2024;Banco Central anuncia segunda intervenção do dia após dólar alcançar R$ 6,20. 
